,meters_made,carries,passes_made,tackles_made,missed_tackles,turnovers_won,try_assists,offloads,clean_breaks,at_home,name,mins_played,is_sub,position_num,playguid,penalty_goals,tries,conversions
52,46,7,50,5,1,0,0,1,1,1.0,Jean-Marc Doussain,61.0,0.0,9.0,JD960346,3.0,0.0,1
53,6,3,1,4,1,0,0,0,0,1.0,Sebastien Taofifenua,63.0,0.0,1.0,ST124970,0.0,0.0,0
54,2,3,1,7,2,0,0,0,0,1.0,Guillaume Marchand,63.0,0.0,2.0,GM354581,0.0,0.0,0
55,1,7,1,2,0,0,0,0,0,1.0,Demba Bamba,63.0,0.0,3.0,DB463136,0.0,0.0,0
56,26,8,6,10,1,1,0,1,0,1.0,Killian Geraci,80.0,0.0,4.0,KG232578,0.0,0.0,0
57,9,6,5,2,2,2,0,0,0,1.0,Romain Taofifenua,61.0,0.0,5.0,RT351750,0.0,0.0,0
58,2,4,3,5,1,2,0,0,0,1.0,Felix Lambey,80.0,0.0,6.0,FL832481,0.0,0.0,0
59,30,12,3,8,1,0,0,0,0,1.0,Beka Saghinadze,80.0,0.0,7.0,BS817797,0.0,0.0,0
60,13,10,8,3,0,1,0,0,0,1.0,Jordan Taufua,80.0,0.0,8.0,JT742402,0.0,1.0,0
61,0,1,0,3,0,0,0,0,0,1.0,Yanis Charcosset,17.0,1.0,2.0,YC572274,0.0,0.0,0
62,0,1,0,1,0,0,0,0,0,1.0,Vivien Devisme,17.0,1.0,1.0,VD632030,0.0,0.0,0
63,4,2,0,2,0,0,0,0,0,1.0,Hamza Kaabeche,17.0,1.0,3.0,HK682765,0.0,0.0,0
64,0,0,1,2,0,0,0,0,0,1.0,Temo Mayanavanua,19.0,1.0,5.0,TM499509,1.0,0.0,0
65,0,0,0,0,0,0,0,0,0,1.0,Colby Fainga'a,80.0,0.0,20.0,CF798338,0.0,0.0,0
66,35,4,6,1,1,0,0,1,1,1.0,Jonathan Pelissie,19.0,1.0,9.0,JP899725,0.0,0.0,0
67,11,4,0,2,0,1,0,0,0,1.0,Thibault Regard,41.0,1.0,13.0,TR736635,0.0,0.0,0
68,18,2,2,0,1,0,0,1,0,1.0,Clement Laporte,19.0,1.0,14.0,CL497728,0.0,0.0,0
69,90,9,1,3,0,0,0,0,0,0.0,Kyle Moyle,80.0,0.0,15.0,KM835732,0.0,0.0,0
70,44,6,4,1,1,0,0,2,1,0.0,Santiago Carreras,72.0,0.0,14.0,SC190286,0.0,0.0,0
71,15,4,2,7,2,1,0,0,0,0.0,Giorgi Kveseladze,80.0,0.0,13.0,GK300902,0.0,0.0,0
72,10,7,13,5,3,1,0,0,0,0.0,Billy Twelvetrees,80.0,0.0,12.0,WT524638,2.0,0.0,1
73,1,2,0,9,1,0,0,0,0,0.0,Alex Morgan,62.0,0.0,11.0,AM774631,0.0,0.0,0
74,16,8,12,5,2,0,0,0,0,0.0,George Barton,80.0,0.0,10.0,GB651497,0.0,0.0,0
75,10,5,20,2,1,0,0,1,0,0.0,Stephen Varney,51.0,0.0,9.0,SV899630,0.0,0.0,0
76,0,2,4,2,0,0,0,0,0,0.0,Jamal Ford-Robinson,77.0,0.0,1.0,JF619423,0.0,0.0,0
77,6,2,2,16,1,1,0,0,0,0.0,Santiago Socino,80.0,0.0,2.0,SS824247,0.0,0.0,0
78,0,0,2,7,1,1,0,0,0,0.0,Fraser Balmain,75.0,0.0,3.0,FB698369,0.0,0.0,0
79,1,4,3,6,1,0,0,0,0,0.0,Andrew Davidson,58.0,0.0,4.0,AD842237,0.0,0.0,0
80,7,4,3,10,1,0,0,0,0,0.0,Arthur Clark,80.0,0.0,5.0,AC761206,0.0,0.0,0
81,0,1,1,6,2,1,0,0,0,0.0,Freddie Thomas,70.0,0.0,6.0,FT614827,0.0,0.0,0
