,name,mins_played,tries,try_assists,conversions,penalty_goals,drop_goals,meters_made,carries,possession_kicked_pct,meters_kicked,balls_played_by_hand,passes_made,offloads,broken_tackles,knock_ons,tackles_made,missed_tackles,tackle_success_pct,dominant_tackles_pct,turnovers_won,turnovers_conceded,handling_errors,pens_conceded,offside_penalties,scrum_penalties,lineouts_won,lineouts_stolen,YC,RC,at_home,position_num,is_sub,playguid
0,Hugo Keenan,80.0,0.0,0.0,0.0,0.0,0.0,45.0,7.0,0.0,88.0,81.0,10.0,0.0,0.0,1.0,4.0,1.0,80.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15,0,HK751316
1,Andrew Conway,62.0,2.0,0.0,0.0,0.0,0.0,60.0,6.0,0.0,49.0,77.0,1.0,0.0,3.0,0.0,2.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0,AC788211
2,Garry Ringrose,80.0,1.0,0.0,0.0,0.0,0.0,110.0,11.0,0.0,22.0,95.0,12.0,0.0,2.0,0.0,7.0,3.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,0,GR900605
3,Bundee Aki,80.0,1.0,1.0,0.0,0.0,0.0,113.0,18.0,0.0,0.0,100.0,15.0,1.0,1.0,0.0,9.0,3.0,75.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,0,BA768636
4,Mack Hansen,80.0,0.0,1.0,0.0,0.0,0.0,149.0,10.0,0.0,23.0,93.0,5.0,0.0,3.0,0.0,1.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0,MH859498
5,Johnny Sexton,64.0,0.0,1.0,3.0,1.0,0.0,57.0,9.0,0.0,70.0,90.0,30.0,1.0,5.0,0.0,7.0,1.0,87.0,12.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0,JS228312
6,Jamison Gibson-Park,69.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,200.0,90.0,93.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0,JG677554
7,Andrew Porter,66.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,9.0,0.0,100.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,AP382464
8,Ronan Kelleher,62.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,0.0,0.0,100.0,4.0,1.0,0.0,0.0,9.0,1.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,RK712948
9,Tadhg Furlong,52.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,7.0,1.0,87.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,TF974321
10,Tadhg Beirne,80.0,0.0,0.0,0.0,0.0,0.0,72.0,14.0,0.0,0.0,100.0,7.0,1.0,1.0,0.0,5.0,0.0,100.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1,4,0,TB830937
11,James Ryan,66.0,0.0,0.0,0.0,0.0,0.0,38.0,8.0,0.0,0.0,100.0,2.0,0.0,1.0,0.0,12.0,0.0,100.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,5,0,JR854317
12,Caelan Doris,80.0,0.0,0.0,0.0,0.0,0.0,54.0,9.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,11.0,0.0,100.0,9.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1,6,0,CD872704
13,Josh van der Flier,80.0,0.0,0.0,0.0,0.0,0.0,66.0,11.0,0.0,0.0,100.0,7.0,0.0,2.0,0.0,16.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,JV681352
14,Jack Conan,52.0,0.0,0.0,0.0,0.0,0.0,53.0,7.0,0.0,0.0,100.0,5.0,1.0,0.0,0.0,5.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,0,JC661063
15,Dan Sheehan,18.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,7.0,0.0,100.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,DS458390
16,Cian Healy,14.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,2.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,CH726208
17,Finlay Bealham,28.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,100.0,1.0,1.0,0.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,FB999044
18,Ryan Baird,14.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,1,RB604593
19,Peter O'Mahony,28.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,8,1,PO196534
20,Conor Murray,11.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,100.0,23.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,1,CM573391
21,Joey Carbery,16.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,32.0,91.0,8.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,1,JC206181
22,James Hume,18.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,1,JH441458
23,Liam Williams,80.0,0.0,0.0,0.0,0.0,0.0,44.0,9.0,0.0,0.0,100.0,5.0,2.0,2.0,1.0,4.0,1.0,80.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,LW454197
24,Johnny McNicholl,62.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,100.0,6.0,0.0,1.0,1.0,3.0,1.0,75.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,JM170940
25,Josh Adams,67.0,0.0,0.0,0.0,0.0,0.0,55.0,5.0,0.0,0.0,100.0,5.0,1.0,1.0,0.0,7.0,2.0,77.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0,13,0,JA935900
26,Nick Tompkins,80.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,100.0,10.0,2.0,0.0,0.0,21.0,3.0,87.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,12,0,NT897139
27,Louis Rees-Zammit,80.0,0.0,0.0,0.0,0.0,0.0,33.0,6.0,0.0,176.0,72.0,2.0,0.0,0.0,1.0,6.0,3.0,66.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,LR428316
28,Dan Biggar,71.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,182.0,84.0,27.0,0.0,0.0,0.0,7.0,4.0,63.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,DB100356
29,Tomos Williams,57.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,36.0,96.0,55.0,1.0,1.0,0.0,9.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,TW860822
30,Wyn Jones,52.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,85.0,2.0,1.0,0.0,0.0,8.0,1.0,88.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,OJ524283
31,Ryan Elias,52.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,8.0,0.0,100.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,RE827406
32,Tomas Francis,52.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,11.0,1.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,TF414345
33,Will Rowlands,74.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,17.0,0.0,100.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,4,0,WR283546
34,Adam Beard,80.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,11.0,1.0,91.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,5,0,AB882295
35,Ellis Jenkins,52.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,100.0,8.0,0.0,1.0,0.0,5.0,1.0,83.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,EJ927927
36,Taine Basham,80.0,1.0,0.0,0.0,0.0,0.0,93.0,15.0,0.0,0.0,100.0,7.0,1.0,2.0,1.0,22.0,1.0,100.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,7,0,TB339876
37,Aaron Wainwright,80.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,0.0,0.0,92.0,5.0,0.0,1.0,1.0,13.0,1.0,92.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,8,0,AW601545
38,Dewi Lake,28.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,2.0,1.0,66.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,DL576464
39,Gareth Thomas,28.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,GT324524
40,Dillon Lewis,28.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.0,1.0,87.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,DL985901
41,Ben Carter,6.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,BC125857
42,Ross Moriarty,28.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,8.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,6,1,CM372062
43,Gareth Davies,23.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,58.0,90.0,17.0,0.0,0.0,0.0,5.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,GD113443
44,Callum Sheedy,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.0,0.0,0.0,0.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,1,CS506075
45,Owen Watkin,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,1,OW990997
46,Stuart Hogg,80.0,0.0,0.0,0.0,0.0,0.0,53.0,9.0,0.0,275.0,65.0,5.0,1.0,1.0,0.0,2.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15,0,SH109757
47,Darcy Graham,80.0,0.0,1.0,0.0,0.0,0.0,82.0,6.0,0.0,0.0,100.0,1.0,0.0,6.0,0.0,7.0,1.0,87.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0,DG601214
48,Chris Harris,80.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,7.0,1.0,87.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,0,CH868958
49,Sam Johnson,59.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,7.0,1.0,87.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,0,SJ801531
50,Duhan van der Merwe,80.0,0.0,0.0,0.0,0.0,0.0,91.0,7.0,0.0,45.0,87.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0,DV671184
51,Finn Russell,80.0,0.0,0.0,1.0,2.0,0.0,9.0,3.0,0.0,357.0,61.0,16.0,0.0,1.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0,FR608838
52,Ali Price,51.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,148.0,86.0,34.0,0.0,1.0,0.0,4.0,1.0,80.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0,AP903050
53,Rory Sutherland,51.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,1.0,83.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,RS816499
54,George Turner,51.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,8.0,3.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,GT723244
55,Zander Fagerson,51.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12.0,0.0,100.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,ZF741855
56,Jonny Gray,63.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,100.0,4.0,0.0,1.0,0.0,13.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1,4,0,JG454407
57,Grant Gilchrist,80.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,100.0,3.0,0.0,0.0,1.0,10.0,0.0,100.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1,5,0,GG620359
58,Jamie Ritchie,59.0,0.0,0.0,0.0,0.0,0.0,32.0,6.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,7.0,0.0,100.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1,6,0,JR572834
