,meters_made,carries,passes_made,tackles_made,missed_tackles,turnovers_won,turnovers_conceded,defenders_beaten,try_assists,offloads,clean_breaks,lineouts_won,lineouts_stolen,at_home,name,mins_played,is_sub,position_num,playguid,penalty_goals,tries,conversions
48,7,3,3,11,0,1,0,1,0,0,1,0,0,1,Matt Scott,80,0,13,MS156720,0,1,0
49,0,0,8,10,2,0,1,0,0,0,0,0,0,1,Dan Kelly,68,0,12,DK663093,0,0,0
50,84,8,4,4,1,2,1,5,0,3,3,0,0,1,Nemani Nadolo,80,0,11,RN208925,0,0,0
51,0,1,19,4,1,0,0,0,1,0,0,0,0,1,George Ford,65,0,10,GF392165,1,0,0
52,7,4,27,5,1,1,3,0,1,0,0,0,0,1,Ben Youngs,48,0,9,BY523643,0,0,0
53,24,9,4,9,1,1,1,2,0,4,0,0,0,1,Ellis Genge,63,0,1,EG908747,0,0,0
54,11,5,4,18,2,0,0,0,0,0,0,0,0,1,Nic Dolly,73,0,2,ND508012,0,2,0
55,0,1,2,11,0,2,0,0,0,0,0,0,0,1,Dan Cole,53,0,3,DC242003,0,0,0
56,0,1,4,16,3,1,1,0,1,0,0,4,0,1,Harry Wells,80,0,4,HW230339,0,0,0
57,11,3,2,7,0,0,0,0,0,0,0,0,0,1,Calum Green,62,0,5,CG647423,0,0,0
58,13,7,3,11,0,0,0,2,0,0,0,0,0,1,George Martin,62,0,6,GM767405,0,0,0
59,13,6,5,18,1,0,1,1,0,1,0,0,1,1,Tommy Reffell,80,0,7,TR815440,0,0,0
60,5,6,4,14,1,1,1,2,0,0,0,5,0,1,Hanro Liebenberg,80,0,8,HL618150,0,0,0
61,0,1,0,0,1,0,0,0,0,0,0,0,0,1,Tom Cowan-Dickie,7,1,2,TC943407,0,0,0
62,3,2,1,3,0,1,1,0,0,0,0,0,0,1,Francois van Wyk,17,1,1,FV183795,0,0,0
63,1,3,1,2,1,0,0,0,0,0,0,0,0,1,Nephi Leatigaga,27,1,3,NL771383,0,0,0
64,0,0,0,5,0,0,0,0,0,0,0,0,0,1,Eli Snyman,18,1,5,ES993024,0,0,0
65,0,0,0,4,1,0,0,0,0,0,0,0,0,1,Ollie Chessum,18,1,6,OC182987,0,0,0
66,0,0,17,1,1,0,0,0,0,0,0,0,0,1,Jack van Poortvliet,32,1,9,JV904195,0,0,0
67,0,2,1,0,0,0,0,0,0,1,0,0,0,1,Freddie Burns,12,1,12,FB166449,0,0,0
68,132,11,6,5,0,0,1,4,0,2,2,0,0,0,Josh Hodge,80,0,15,JH501596,0,0,0
69,36,11,3,2,2,2,0,3,0,1,0,0,0,0,Jack Nowell,80,0,14,JN875222,0,0,0
70,38,11,9,3,0,0,4,2,0,1,0,0,0,0,Henry Slade,80,0,13,HS586007,0,0,0
71,10,7,7,1,1,0,1,0,0,1,0,0,0,0,Ollie Devoto,71,0,12,OD413673,0,0,0
72,49,9,7,2,4,0,2,3,0,0,0,0,0,0,Tom O'Flaherty,80,0,11,TO575734,0,0,0
73,2,2,19,4,2,0,0,2,0,0,0,0,0,0,Joe Simmonds,49,0,10,JS753060,0,0,0
74,2,2,51,3,0,1,0,0,0,0,0,0,0,0,Jack Maunder,49,0,9,JM797663,0,0,0
75,16,6,3,3,0,0,1,0,0,0,0,0,0,0,Alec Hepburn,55,0,1,AH670270,0,0,0
76,18,12,1,3,1,0,0,1,0,0,0,0,0,0,Jack Innard,55,0,2,JI538537,0,1,0
77,6,4,0,1,1,0,0,0,0,0,0,1,0,0,Harry Williams,55,0,3,HW938842,0,0,0
78,5,7,2,6,1,0,1,0,0,0,0,1,1,0,Will Witty,56,0,4,WW865620,0,0,0
79,14,10,1,5,1,0,2,2,0,0,0,2,0,0,Sean Lonsdale,80,0,5,SL488310,0,0,0
80,16,7,1,10,1,0,1,2,0,0,0,2,0,0,Jannes Kirsten,80,0,6,JK748722,0,0,0
81,5,9,5,4,0,1,2,0,0,0,0,1,0,0,Don Armand,80,0,7,DA401740,0,1,0
82,28,16,3,7,1,0,0,0,0,0,0,1,0,0,Rusiate Tuima,61,0,8,RT304060,0,0,0
83,20,3,0,1,0,0,0,0,0,0,0,0,0,0,Jack Yeandle,25,1,2,JY505871,0,0,0
84,0,2,0,1,1,0,0,0,0,0,0,0,0,0,Ben Moon,25,1,1,BM645592,0,0,0
85,2,3,0,4,0,0,0,1,0,0,0,0,0,0,Sam Nixon,25,1,3,SN390300,0,0,0
86,0,2,2,2,0,0,0,0,0,0,0,0,0,0,Ryan McCauley,24,1,4,RM607037,0,0,0
87,0,2,3,1,0,1,1,0,0,0,0,2,0,0,Christ Tshiunza,19,1,8,CT642805,0,0,0
88,35,2,39,2,0,0,1,3,0,0,2,1,0,0,Sam Hidalgo-Clyne,31,1,9,SH676296,0,1,0
89,8,4,12,3,0,0,0,2,0,1,0,0,0,0,Harvey Skinner,31,1,10,HS767035,0,0,0
90,2,3,0,1,0,0,0,0,0,0,0,1,0,0,Tom Hendrickson,9,1,12,TH830936,0,0,0
91,141,8,10,4,1,3,3,6,1,2,2,0,0,1,George Furbank,80,0,15,GF915654,0,1,0
92,31,7,3,2,2,2,1,3,0,2,0,0,0,1,Matt Proctor,80,0,14,MP925514,0,0,0
93,52,8,5,8,0,1,0,2,0,2,0,0,0,1,Fraser Dingwall,80,0,13,FD904134,0,0,0
94,17,5,7,5,2,0,1,1,0,1,1,0,0,1,Rory Hutchinson,63,0,12,RH318511,0,0,0
95,39,6,4,0,4,0,0,1,1,2,1,0,0,1,Tom Collins,80,0,11,TC594085,0,0,0
96,10,2,15,4,1,0,1,1,0,1,0,0,0,1,James Grayson,80,0,10,JG791693,2,1,0
97,10,4,47,6,0,0,0,1,2,2,0,0,0,1,Alex Mitchell,60,0,9,AM990246,0,0,0
98,0,0,1,4,3,0,0,0,0,0,0,0,0,1,Alex Waller,45,0,1,AW666449,0,0,0
99,2,4,2,4,0,0,1,1,0,1,0,0,0,1,James Fish,54,0,2,JF794080,0,0,0
100,0,1,2,1,2,0,0,0,0,0,0,0,0,1,Ehren Painter,45,0,3,EP503621,0,0,0
101,17,6,2,3,1,0,3,1,0,0,0,5,1,1,David Ribbans,60,0,4,DR539502,0,0,0
102,9,2,1,4,1,0,0,0,0,0,0,0,0,1,Alex Moon,45,0,5,AM144508,0,0,0
103,28,8,6,6,0,1,1,0,0,0,1,5,0,1,Tom Wood,80,0,6,TW470502,0,1,0
104,14,8,3,6,1,1,0,1,0,0,0,2,0,1,Lewis Ludlam,80,0,7,LL840089,0,0,0
105,17,7,4,6,0,3,0,1,0,0,0,0,0,1,Teimana Harrison,49,0,8,TH461593,0,0,0
106,0,5,2,4,0,0,1,0,0,1,0,0,0,1,Mike Haywood,26,1,2,MH943718,0,0,0
107,10,4,0,4,0,0,0,0,0,0,1,0,0,1,Nick Auterac,35,1,1,NA593737,0,1,0
108,0,0,1,2,0,1,0,0,0,0,0,0,0,1,Paul Hill,35,1,3,PH646364,0,0,0
109,18,6,0,3,0,0,0,2,0,0,0,0,0,1,Api Ratuniyarawa,35,1,5,AR118579,0,0,0
110,29,4,1,5,0,1,0,4,0,0,1,0,0,1,Juarno Augustus,31,1,8,JA894551,0,0,0
111,0,1,27,0,0,0,0,1,0,0,0,0,0,1,Connor Tupai,20,1,9,CT367230,0,0,0
112,0,2,3,1,2,0,0,0,0,1,0,0,0,1,Ahsee Tuala,17,1,12,AT736273,0,0,0
113,2,3,2,3,0,0,0,0,0,1,0,2,1,1,Alex Coles,20,1,4,AC890060,0,0,0
114,57,4,3,1,0,0,2,1,0,1,2,0,0,0,Kyle Moyle,60,0,15,KM835732,0,0,0
115,105,11,3,2,0,0,2,5,0,0,0,0,0,0,Jonny May,80,0,14,JM704886,0,1,0
116,12,3,0,1,1,0,0,1,0,0,0,0,0,0,Tom Seabrook,60,0,13,TS259655,0,0,0
117,31,8,12,9,1,0,0,2,0,2,0,0,0,0,Billy Twelvetrees,80,0,12,WT524638,0,0,0
118,122,8,4,6,1,0,2,4,0,3,2,0,0,0,Ollie Thorley,80,0,11,OT282658,0,1,0
119,6,2,17,3,4,0,1,0,1,0,0,0,0,0,Lloyd Evans,80,0,10,LE573925,1,0,0
120,0,1,31,2,2,0,0,0,0,0,0,0,0,0,Ben Meehan,49,0,9,BM865132,0,0,0
121,5,5,1,1,0,0,0,1,0,0,0,0,0,0,Harry Elrington,49,0,1,HE127014,0,0,0
122,2,2,0,2,1,0,2,0,0,0,0,0,0,0,Jack Singleton,49,0,2,JS176680,0,0,0
123,0,1,0,4,1,0,0,0,0,0,0,0,0,0,Fraser Balmain,49,0,3,FB698369,0,0,0
124,3,3,1,4,1,1,0,0,0,0,0,1,0,0,Ben Morgan,59,0,4,BM181390,0,0,0
125,0,2,2,4,1,0,0,0,0,0,0,2,0,0,Andrew Davidson,49,0,5,AD842237,0,0,0
126,12,4,7,10,4,2,1,0,0,1,0,0,0,0,Jordy Reid,80,0,6,JR943151,0,1,0
127,7,4,5,10,1,3,3,0,0,1,0,6,0,0,Lewis Ludlow,80,0,7,LL719541,0,0,0
128,88,8,0,8,4,2,1,2,0,0,1,1,0,0,Jack Clement,29,0,8,JC751087,0,1,0
