,meters_made,carries,passes_made,tackles_made,missed_tackles,turnovers_won,try_assists,offloads,clean_breaks,at_home,name,mins_played,is_sub,position_num,playguid,penalty_goals,tries,conversions
51,13,4,20,4,0,0,2,0,0,1.0,Ross Byrne,59.0,0.0,10.0,RB187137,0.0,0.0,5
52,41,4,42,2,1,0,2,0,0,1.0,Jamison Gibson-Park,53.0,0.0,9.0,JG677554,0.0,2.0,0
53,12,4,0,4,0,1,0,0,0,1.0,Andrew Porter,48.0,0.0,1.0,AP382464,0.0,0.0,0
54,53,6,3,8,0,0,0,1,2,1.0,Ronan Kelleher,48.0,0.0,2.0,RK712948,0.0,1.0,0
55,26,7,1,5,0,0,0,0,1,1.0,Tadhg Furlong,48.0,0.0,3.0,TF974321,0.0,1.0,0
56,0,5,2,5,0,1,0,0,0,1.0,Ross Molony,59.0,0.0,4.0,RM687442,0.0,0.0,0
57,25,6,6,12,1,1,0,3,1,1.0,Ryan Baird,80.0,0.0,5.0,RB604593,0.0,0.0,0
58,23,5,3,5,0,0,0,0,0,1.0,Rhys Ruddock,80.0,0.0,6.0,RR759362,0.0,0.0,0
59,17,6,4,8,3,0,0,1,0,1.0,Josh van der Flier,80.0,0.0,7.0,JV681352,0.0,1.0,0
60,23,6,4,6,0,0,0,0,0,1.0,Caelan Doris,69.0,0.0,8.0,CD872704,0.0,0.0,0
61,31,5,3,5,1,1,0,0,1,1.0,Dan Sheehan,32.0,1.0,2.0,DS458390,0.0,0.0,0
62,0,2,1,4,1,0,0,0,0,1.0,Cian Healy,32.0,1.0,1.0,CH726208,0.0,0.0,0
63,6,6,1,6,0,0,0,1,0,1.0,Michael Alaalatoa,32.0,1.0,3.0,MA209308,0.0,0.0,0
64,0,2,1,7,0,0,0,0,0,1.0,Devin Toner,21.0,1.0,4.0,DT150994,0.0,0.0,0
65,11,2,1,5,2,1,0,0,0,1.0,Max Deegan,11.0,1.0,8.0,MD356781,0.0,0.0,0
66,8,1,26,3,2,0,0,0,0,1.0,Luke McGrath,27.0,1.0,9.0,LM993555,0.0,0.0,0
67,0,1,5,2,0,0,0,1,0,1.0,Jimmy O'Brien,21.0,1.0,13.0,JO606423,0.0,0.0,0
68,9,2,3,5,1,0,0,1,0,1.0,Tommy O'Brien,21.0,1.0,10.0,TO294463,0.0,0.0,0
69,35,8,2,0,1,0,0,0,0,0.0,Tom de Glanville,67.0,0.0,15.0,TD954271,0.0,0.0,0
70,15,3,2,11,0,1,0,1,0,0.0,Semesa Rokoduguni,80.0,0.0,14.0,SR807974,0.0,0.0,0
71,24,6,7,6,0,0,0,2,0,0.0,Will Butt,80.0,0.0,13.0,WB682969,0.0,0.0,0
72,19,8,7,4,0,0,0,1,1,0.0,Max Ojomoh,80.0,0.0,12.0,MO777296,0.0,0.0,0
73,40,4,1,5,2,0,0,1,0,0.0,Will Muir,70.0,0.0,11.0,WM237896,0.0,0.0,0
74,22,6,10,6,2,0,0,0,0,0.0,Orlando Bailey,80.0,0.0,10.0,OB938390,2.0,0.0,2
75,2,1,30,1,1,0,0,0,0,0.0,Ben Spencer,67.0,0.0,9.0,BS666177,0.0,0.0,0
76,8,5,1,5,0,0,0,0,0,0.0,Lewis Boyce,67.0,0.0,1.0,LB338261,0.0,0.0,0
77,14,6,0,5,2,0,0,0,1,0.0,Jacques du Toit,33.0,0.0,2.0,OD584504,0.0,1.0,0
78,0,1,0,11,2,0,0,0,0,0.0,Will Stuart,59.0,0.0,3.0,WS816688,0.0,0.0,0
79,6,1,0,5,0,0,0,0,0,0.0,Josh McNally,51.0,0.0,4.0,JM494446,0.0,0.0,0
80,1,3,5,10,3,1,0,0,0,0.0,Charlie Ewels,80.0,0.0,5.0,CE445208,0.0,0.0,0
81,15,6,2,8,2,0,0,0,0,0.0,Tom Ellis,80.0,0.0,6.0,TE514890,0.0,0.0,0
82,24,9,5,12,1,0,0,0,1,0.0,Richard de Carpentier,80.0,0.0,7.0,RD150276,0.0,0.0,0
83,22,8,1,7,3,1,1,0,0,0.0,Josh Bayliss,59.0,0.0,8.0,JB479472,0.0,0.0,0
84,4,4,4,10,0,0,0,0,0,0.0,Tom Dunn,80.0,0.0,16.0,TD115446,0.0,0.0,0
