,Player,MP,T,TA,C,P,DG,M,CA,PK(%),MK,BH(%),PM,O,BTs,Kon,TM,MT,TS(%),DT(%),TW,TC,HE,PC,OPC,SPC,LW,LS,YC,RC,at_home,pos_num_x,is_sub,PlayGuid,T_per80m,TA_per80m,C_per80m,P_per80m,DG_per80m,M_per80m,CA_per80m,MK_per80m,PM_per80m,O_per80m,BTs_per80m,Kon_per80m,TM_per80m,MT_per80m,TW_per80m,TC_per80m,HE_per80m,PC_per80m,OPC_per80m,SPC_per80m,LW_per80m,LS_per80m,YC_per80m,RC_per80m,TS(%)_per80m,TW(%)_per80m,MpCA_per80m,pos_num_y
626,Blair Kinghorn,80.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,82.0,93.0,22.0,0.0,0.0,0.0,7.0,1.0,100.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,BK512124,0.0,0.0,0.0,0.0,0.0,19.0,4.0,82.0,22.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,4.75,10
627,Ali Price,61.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,183.0,88.0,58.0,1.0,3.0,1.0,8.0,2.0,90.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,9,0,AP903050,0.0,0.0,0.0,0.0,0.0,35.199199242651595,2.34661328284344,214.71511538017472,68.05178520245975,1.17330664142172,3.5199199242651598,1.17330664142172,9.38645313137376,2.34661328284344,1.17330664142172,1.17330664142172,3.5199199242651598,1.17330664142172,1.17330664142172,0.0,0.0,0.0,0.0,0.0,0.8,0.5,14.999999999999998,9
628,Pierre Schoeman,73.0,1.0,0.0,0.0,0.0,0.0,63.0,10.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,PS298811,1.0539767825284911,0.0,0.0,0.0,0.0,66.40053729929495,10.539767825284912,0.0,1.0539767825284911,0.0,1.0539767825284911,0.0,10.539767825284912,0.0,0.0,0.0,0.0,1.0539767825284911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,6.300000000000001,1
629,George Turner,51.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,9.0,2.0,92.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,GT723244,0.0,0.0,0.0,0.0,0.0,10.49670569528999,2.6241764238224974,0.0,2.6241764238224974,0.0,0.0,0.0,11.808793907201238,2.6241764238224974,0.0,1.3120882119112487,0.0,1.3120882119112487,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,4.0,2
630,Zander Fagerson,55.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,ZF741855,0.0,0.0,0.0,0.0,0.0,40.03127358033549,8.756841095698388,0.0,0.0,0.0,0.0,0.0,12.509772993854842,0.0,0.0,0.0,0.0,1.250977299385484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,4.571428571428571,3
631,Jonny Gray,80.0,0.0,0.0,0.0,0.0,0.0,37.0,12.0,0.0,0.0,100.0,5.0,0.0,1.0,0.0,18.0,1.0,95.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0,4,0,JG454407,0.0,0.0,0.0,0.0,0.0,37.0,12.0,0.0,5.0,0.0,1.0,0.0,18.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.9473684210526315,0.0,3.0833333333333335,4
632,Grant Gilchrist,51.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,9.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,GG620359,0.0,0.0,0.0,0.0,0.0,11.808793907201238,5.248352847644995,0.0,1.3120882119112487,0.0,0.0,0.0,11.808793907201238,0.0,1.3120882119112487,0.0,0.0,1.3120882119112487,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.25,5
633,Rory Darge,80.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,17.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,RD673943,0.0,0.0,0.0,0.0,0.0,23.0,8.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.875,6
634,Hamish Watson,80.0,0.0,0.0,0.0,0.0,0.0,57.0,7.0,0.0,0.0,100.0,5.0,1.0,1.0,0.0,21.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,HW157577,0.0,0.0,0.0,0.0,0.0,57.0,7.0,0.0,5.0,1.0,1.0,0.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,8.142857142857142,7
635,Matt Fagerson,62.0,0.0,0.0,0.0,0.0,0.0,43.0,10.0,0.0,0.0,100.0,5.0,0.0,1.0,0.0,7.0,0.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,8,0,MF352745,0.0,0.0,0.0,0.0,0.0,49.954043409395936,11.617219397533939,0.0,5.808609698766969,0.0,1.1617219397533938,0.0,8.132053578273757,0.0,1.1617219397533938,0.0,1.1617219397533938,0.0,0.0,0.0,2.3234438795067875,1.1617219397533938,0.0,0.0,1.0,1.0,4.3,8
