,Player,MP,T,TA,C,P,DG,M,CA,PK(%),MK,BH(%),PM,O,BTs,Kon,TM,MT,TS(%),DT(%),TW,TC,HE,PC,OPC,SPC,LW,LS,YC,RC,at_home,pos_num_x,is_sub,PlayGuid,T_per80m,TA_per80m,C_per80m,P_per80m,DG_per80m,M_per80m,CA_per80m,MK_per80m,PM_per80m,O_per80m,BTs_per80m,Kon_per80m,TM_per80m,MT_per80m,TW_per80m,TC_per80m,HE_per80m,PC_per80m,OPC_per80m,SPC_per80m,LW_per80m,LS_per80m,YC_per80m,RC_per80m,TS(%)_per80m,TW(%)_per80m,MpCA_per80m,pos_num_y
0,Hugo Keenan,80.0,0.0,0.0,0.0,0.0,0.0,45.0,7.0,0.0,88.0,81.0,10.0,0.0,0.0,1.0,4.0,1.0,80.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15,0,HK751316,0.0,0.0,0.0,0.0,0.0,45.0,7.0,88.0,10.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,6.428571428571429,15
1,Andrew Conway,62.0,2.0,0.0,0.0,0.0,0.0,60.0,6.0,0.0,49.0,77.0,1.0,0.0,3.0,0.0,2.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0,AC788211,2.3234438795067875,0.0,0.0,0.0,0.0,69.70331638520364,6.9703316385203635,56.9243750479163,1.1617219397533938,0.0,3.4851658192601818,0.0,2.3234438795067875,0.0,0.0,2.3234438795067875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,14
2,Garry Ringrose,80.0,1.0,0.0,0.0,0.0,0.0,110.0,11.0,0.0,22.0,95.0,12.0,0.0,2.0,0.0,7.0,3.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,0,GR900605,1.0,0.0,0.0,0.0,0.0,110.0,11.0,22.0,12.0,0.0,2.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,10.0,13
3,Bundee Aki,80.0,1.0,1.0,0.0,0.0,0.0,113.0,18.0,0.0,0.0,100.0,15.0,1.0,1.0,0.0,9.0,3.0,75.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,0,BA768636,1.0,1.0,0.0,0.0,0.0,113.0,18.0,0.0,15.0,1.0,1.0,0.0,9.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,6.277777777777778,12
4,Mack Hansen,80.0,0.0,1.0,0.0,0.0,0.0,149.0,10.0,0.0,23.0,93.0,5.0,0.0,3.0,0.0,1.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0,MH859498,0.0,1.0,0.0,0.0,0.0,149.0,10.0,23.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.9,11
5,Johnny Sexton,64.0,0.0,1.0,3.0,1.0,0.0,57.0,9.0,0.0,70.0,90.0,30.0,1.0,5.0,0.0,7.0,1.0,87.0,12.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,0,JS228312,0.0,1.1395647639063162,3.4186942917189485,1.1395647639063162,0.0,64.95519154266002,10.256082875156846,79.76953347344212,34.186942917189484,1.1395647639063162,5.697823819531581,0.0,7.976953347344213,1.1395647639063162,1.1395647639063162,2.2791295278126324,1.1395647639063162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8749999999999999,0.3333333333333333,6.333333333333333,10
6,Jamison Gibson-Park,69.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,200.0,90.0,93.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0,JG677554,0.0,1.089434068861047,0.0,0.0,0.0,3.268302206583141,1.089434068861047,217.8868137722094,101.31736840407738,0.0,0.0,0.0,1.089434068861047,0.0,0.0,2.178868137722094,3.268302206583141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9
7,Andrew Porter,66.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,9.0,0.0,100.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,AP382464,0.0,0.0,0.0,0.0,0.0,32.44118245318047,5.593307319513873,0.0,1.1186614639027748,0.0,1.1186614639027748,0.0,10.067953175124973,0.0,1.1186614639027748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.8,1
8,Ronan Kelleher,62.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,0.0,0.0,100.0,4.0,1.0,0.0,0.0,9.0,1.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,RK712948,0.0,0.0,0.0,0.0,0.0,45.30715565038236,6.9703316385203635,0.0,4.646887759013575,1.1617219397533938,0.0,0.0,10.455497457780545,1.1617219397533938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,,6.5,2
9,Tadhg Furlong,52.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,7.0,1.0,87.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,TF974321,0.0,0.0,0.0,0.0,0.0,29.807946692539478,6.479988411421625,0.0,3.8879930468529755,0.0,1.295997682284325,0.0,9.071983775990276,1.295997682284325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,,4.6000000000000005,3
10,Tadhg Beirne,80.0,0.0,0.0,0.0,0.0,0.0,72.0,14.0,0.0,0.0,100.0,7.0,1.0,1.0,0.0,5.0,0.0,100.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1,4,0,TB830937,0.0,0.0,0.0,0.0,0.0,72.0,14.0,0.0,7.0,1.0,1.0,0.0,5.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.6666666666666666,5.142857142857143,4
11,James Ryan,66.0,0.0,0.0,0.0,0.0,0.0,38.0,8.0,0.0,0.0,100.0,2.0,0.0,1.0,0.0,12.0,0.0,100.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,5,0,JR854317,0.0,0.0,0.0,0.0,0.0,42.509135628305444,8.949291711222198,0.0,2.2373229278055495,0.0,1.1186614639027748,0.0,13.423937566833297,0.0,0.0,1.1186614639027748,0.0,0.0,0.0,0.0,4.474645855611099,0.0,0.0,0.0,1.0,0.0,4.75,5
12,Caelan Doris,80.0,0.0,0.0,0.0,0.0,0.0,54.0,9.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,11.0,0.0,100.0,9.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1,6,0,CD872704,0.0,0.0,0.0,0.0,0.0,54.0,9.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6
13,Josh van der Flier,80.0,0.0,0.0,0.0,0.0,0.0,66.0,11.0,0.0,0.0,100.0,7.0,0.0,2.0,0.0,16.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0,JV681352,0.0,0.0,0.0,0.0,0.0,66.0,11.0,0.0,7.0,0.0,2.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,7
14,Jack Conan,52.0,0.0,0.0,0.0,0.0,0.0,53.0,7.0,0.0,0.0,100.0,5.0,1.0,0.0,0.0,5.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,0,JC661063,0.0,0.0,0.0,0.0,0.0,68.68787716106924,9.071983775990276,0.0,6.479988411421625,1.295997682284325,0.0,0.0,6.479988411421625,0.0,1.295997682284325,1.295997682284325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,7.571428571428572,8
15,Dan Sheehan,18.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,100.0,2.0,1.0,1.0,0.0,7.0,0.0,100.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,DS458390,0.0,0.0,0.0,0.0,0.0,56.64057722361328,10.788681375926338,0.0,5.394340687963169,2.6971703439815844,2.6971703439815844,0.0,18.880192407871093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,5.250000000000001,2
16,Cian Healy,14.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,2.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,CH726208,0.0,0.0,0.0,0.0,0.0,26.01893893041024,6.50473473260256,0.0,3.25236736630128,0.0,0.0,3.25236736630128,6.50473473260256,0.0,0.0,3.25236736630128,3.25236736630128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1
17,Finlay Bealham,28.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,100.0,1.0,1.0,0.0,0.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,FB999044,0.0,0.0,0.0,0.0,0.0,25.511396325030706,5.887245305776316,0.0,1.9624151019254388,1.9624151019254388,0.0,0.0,5.887245305776316,0.0,0.0,0.0,0.0,1.9624151019254388,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,4.333333333333334,3
18,Ryan Baird,14.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,1,RB604593,0.0,0.0,0.0,0.0,0.0,35.77604102931408,6.50473473260256,0.0,3.25236736630128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.5,5
19,Peter O'Mahony,28.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,8,1,PO196534,0.0,0.0,0.0,0.0,0.0,33.36105673273246,5.887245305776316,0.0,1.9624151019254388,0.0,0.0,0.0,0.0,0.0,1.9624151019254388,0.0,0.0,0.0,0.0,0.0,5.887245305776316,0.0,0.0,0.0,,1.0,5.666666666666666,8
20,Conor Murray,11.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,100.0,23.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,1,CM573391,0.0,0.0,0.0,0.0,0.0,89.84958355365742,11.719510898303142,0.0,89.84958355365742,0.0,3.906503632767714,0.0,3.906503632767714,0.0,0.0,0.0,3.906503632767714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,7.666666666666667,9
21,Joey Carbery,16.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,32.0,91.0,8.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,1,JC206181,0.0,0.0,0.0,0.0,0.0,32.372555053727844,8.828878651016685,94.17470561084464,23.54367640271116,0.0,0.0,0.0,2.942959550338895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,3.6666666666666665,10
22,James Hume,18.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,100.0,3.0,0.0,1.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,1,JH441458,0.0,0.0,0.0,0.0,0.0,8.091511031944753,2.6971703439815844,0.0,8.091511031944753,0.0,2.6971703439815844,0.0,5.394340687963169,0.0,0.0,0.0,0.0,5.394340687963169,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,3.0,14
23,Liam Williams,80.0,0.0,0.0,0.0,0.0,0.0,44.0,9.0,0.0,0.0,100.0,5.0,2.0,2.0,1.0,4.0,1.0,80.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,LW454197,0.0,0.0,0.0,0.0,0.0,44.0,9.0,0.0,5.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,4.888888888888889,15
24,Johnny McNicholl,62.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,100.0,6.0,0.0,1.0,1.0,3.0,1.0,75.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,0,JM170940,0.0,0.0,0.0,0.0,0.0,31.366492373341632,4.646887759013575,0.0,6.9703316385203635,0.0,1.1617219397533938,1.1617219397533938,3.4851658192601818,1.1617219397533938,1.1617219397533938,1.1617219397533938,1.1617219397533938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500000000000001,0.5,6.75,15
25,Josh Adams,67.0,0.0,0.0,0.0,0.0,0.0,55.0,5.0,0.0,0.0,100.0,5.0,1.0,1.0,0.0,7.0,2.0,77.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0,13,0,JA935900,0.0,0.0,0.0,0.0,0.0,60.97559509736099,5.5432359179419075,0.0,5.5432359179419075,1.1086471835883813,1.1086471835883813,0.0,7.76053028511867,2.2172943671767626,0.0,1.1086471835883813,0.0,3.3259415507651444,1.1086471835883813,0.0,0.0,0.0,1.1086471835883813,0.0,0.7777777777777779,0.0,11.0,11
26,Nick Tompkins,80.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,100.0,10.0,2.0,0.0,0.0,21.0,3.0,87.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,12,0,NT897139,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,10.0,2.0,0.0,0.0,21.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.875,,4.25,12
27,Louis Rees-Zammit,80.0,0.0,0.0,0.0,0.0,0.0,33.0,6.0,0.0,176.0,72.0,2.0,0.0,0.0,1.0,6.0,3.0,66.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,LR428316,0.0,0.0,0.0,0.0,0.0,33.0,6.0,176.0,2.0,0.0,0.0,1.0,6.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,5.5,11
28,Dan Biggar,71.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,182.0,84.0,27.0,0.0,0.0,0.0,7.0,4.0,63.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0,DB100356,0.0,0.0,0.0,0.0,0.0,31.06586182526607,5.356183073321737,194.9650638689112,28.92338859593738,0.0,0.0,0.0,7.4986563026504305,4.284946458657389,0.0,0.0,1.0712366146643473,1.0712366146643473,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,,5.799999999999999,10
29,Tomos Williams,57.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,36.0,96.0,55.0,1.0,1.0,0.0,9.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,TW860822,0.0,0.0,0.0,0.0,0.0,11.010645346736668,3.6702151155788894,44.04258138694667,67.2872771189463,1.2234050385262965,1.2234050385262965,0.0,11.010645346736668,0.0,0.0,1.2234050385262965,1.2234050385262965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9
30,Wyn Jones,52.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,85.0,2.0,1.0,0.0,0.0,8.0,1.0,88.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,OJ524283,0.0,0.0,0.0,0.0,0.0,18.143967551980552,6.479988411421625,0.0,2.59199536456865,1.295997682284325,0.0,0.0,10.3679814582746,1.295997682284325,0.0,0.0,0.0,2.59199536456865,0.0,0.0,0.0,0.0,0.0,0.0,0.888888888888889,,2.8000000000000003,1
31,Ryan Elias,52.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,8.0,0.0,100.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,RE827406,0.0,0.0,0.0,0.0,0.0,32.39994205710813,5.1839907291373,0.0,0.0,0.0,1.295997682284325,0.0,10.3679814582746,0.0,0.0,1.295997682284325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.25,2
32,Tomas Francis,52.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,11.0,1.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,TF414345,0.0,0.0,0.0,0.0,0.0,5.1839907291373,1.295997682284325,0.0,1.295997682284325,0.0,0.0,0.0,14.255974505127575,1.295997682284325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,,4.0,3
33,Will Rowlands,74.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,17.0,0.0,100.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,4,0,WR283546,0.0,0.0,0.0,0.0,0.0,29.278936222530998,6.274057761970927,0.0,1.0456762936618211,0.0,0.0,0.0,17.776496992250962,0.0,0.0,0.0,0.0,1.0456762936618211,0.0,0.0,2.0913525873236423,0.0,0.0,0.0,1.0,,4.666666666666667,4
34,Adam Beard,80.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,11.0,1.0,91.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,5,0,AB882295,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9166666666666666,,3.4,5
35,Ellis Jenkins,52.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,100.0,8.0,0.0,1.0,0.0,5.0,1.0,83.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0,EJ927927,0.0,0.0,0.0,0.0,0.0,23.32795828111785,3.8879930468529755,0.0,10.3679814582746,0.0,1.295997682284325,0.0,6.479988411421625,1.295997682284325,0.0,1.295997682284325,1.295997682284325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,5.999999999999999,6
36,Taine Basham,80.0,1.0,0.0,0.0,0.0,0.0,93.0,15.0,0.0,0.0,100.0,7.0,1.0,2.0,1.0,22.0,1.0,100.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,7,0,TB339876,1.0,0.0,0.0,0.0,0.0,93.0,15.0,0.0,7.0,1.0,2.0,1.0,22.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9565217391304348,0.5,6.2,7
37,Aaron Wainwright,80.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,0.0,0.0,92.0,5.0,0.0,1.0,1.0,13.0,1.0,92.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0,8,0,AW601545,0.0,0.0,0.0,0.0,0.0,32.0,7.0,0.0,5.0,0.0,1.0,1.0,13.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9285714285714286,0.0,4.571428571428571,8
38,Dewi Lake,28.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,2.0,1.0,66.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,DL576464,0.0,0.0,0.0,0.0,0.0,35.3234718346579,5.887245305776316,0.0,1.9624151019254388,0.0,0.0,1.9624151019254388,3.9248302038508776,1.9624151019254388,0.0,3.9248302038508776,3.9248302038508776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,6.000000000000001,2
39,Gareth Thomas,28.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,GT324524,0.0,0.0,0.0,0.0,0.0,35.3234718346579,7.849660407701755,0.0,0.0,0.0,0.0,0.0,5.887245305776316,0.0,0.0,1.9624151019254388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.500000000000001,1
40,Dillon Lewis,28.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.0,1.0,87.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,DL985901,0.0,0.0,0.0,0.0,0.0,21.58656612117983,3.9248302038508776,0.0,0.0,0.0,0.0,0.0,13.736905713478071,1.9624151019254388,1.9624151019254388,0.0,0.0,1.9624151019254388,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.0,5.500000000000001,3
41,Ben Carter,6.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,BC125857,0.0,0.0,0.0,0.0,0.0,31.373453510982635,6.274690702196527,0.0,0.0,0.0,0.0,0.0,25.09876280878611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,5.0,4
42,Ross Moriarty,28.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,8.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,6,1,CM372062,0.0,0.0,0.0,0.0,0.0,13.736905713478071,3.9248302038508776,0.0,3.9248302038508776,0.0,0.0,0.0,15.69932081540351,1.9624151019254388,0.0,0.0,0.0,0.0,0.0,0.0,3.9248302038508776,0.0,0.0,0.0,0.888888888888889,,3.5,6
43,Gareth Davies,23.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,58.0,90.0,17.0,0.0,0.0,0.0,5.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,1,GD113443,0.0,0.0,0.0,0.0,0.0,11.28307473803766,2.256614947607532,130.88366696123686,38.36245410932805,0.0,0.0,0.0,11.28307473803766,0.0,0.0,0.0,2.256614947607532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,5.0,9
44,Callum Sheedy,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.0,0.0,0.0,0.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,1,CS506075,0.0,0.0,4.561100338160706,0.0,0.0,0.0,0.0,0.0,18.244401352642825,0.0,0.0,0.0,18.244401352642825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,10
45,Owen Watkin,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,1,OW990997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6971703439815844,0.0,0.0,0.0,5.394340687963169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,13
46,Stuart Hogg,80.0,0.0,0.0,0.0,0.0,0.0,53.0,9.0,0.0,275.0,65.0,5.0,1.0,1.0,0.0,2.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15,0,SH109757,0.0,0.0,0.0,0.0,0.0,53.0,9.0,275.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.888888888888889,15
47,Darcy Graham,80.0,0.0,1.0,0.0,0.0,0.0,82.0,6.0,0.0,0.0,100.0,1.0,0.0,6.0,0.0,7.0,1.0,87.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0,DG601214,0.0,1.0,0.0,0.0,0.0,82.0,6.0,0.0,1.0,0.0,6.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.0,13.666666666666666,14
48,Chris Harris,80.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,7.0,1.0,87.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13,0,CH868958,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,,6.0,13
49,Sam Johnson,59.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,7.0,1.0,87.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,0,SJ801531,0.0,0.0,0.0,0.0,0.0,5.987841040974279,2.3951364163897115,0.0,1.1975682081948558,0.0,0.0,0.0,8.38297745736399,1.1975682081948558,0.0,1.1975682081948558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,2.5,12
50,Duhan van der Merwe,80.0,0.0,0.0,0.0,0.0,0.0,91.0,7.0,0.0,45.0,87.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0,DV671184,0.0,0.0,0.0,0.0,0.0,91.0,7.0,45.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.0,11
