,M,C,P,T,MT,TW,TC,DB,TA,O,CB,LW,LS,at_home,p_name,min_played,is_sub,pos_num_x,PlayGuid,M_per80m,C_per80m,P_per80m,T_per80m,MT_per80m,TW_per80m,TC_per80m,DB_per80m,TA_per80m,O_per80m,CB_per80m,LW_per80m,LS_per80m,Meters_per_Carry_per80m,%Successful_per80mackles_per80m,%Turnovers_Won_per80m,DB_per_Break_per80m,pos_num_y
13,2,7,5,8,3,1,1,0,0,0,0,0,0,1,Daniel Thomas,80,0,7,DT850621,2.0,7.0,5.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.7272727272727273,0.5,0.0,7.0
14,11,14,6,3,0,1,2,3,0,2,0,1,0,1,Nathan Hughes,80,0,8,NH997502,11.0,14.0,6.0,3.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.7857142857142857,1.0,0.3333333333333333,0.21428571428571427,8.0
15,7,5,2,0,0,0,1,0,0,0,0,0,0,1,Will Capon,21,1,2,WC487996,16.868341476163074,12.048815340116484,4.819526136046593,0.0,0.0,0.0,2.4097630680232967,0.0,0.0,0.0,0.0,0.0,0.0,1.3999999999999997,0.0,0.0,0.0,2.0
16,0,2,0,1,0,0,0,0,0,0,0,0,0,1,Yann Thomas,21,1,1,YT739953,0.0,4.819526136046593,0.0,2.4097630680232967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17,0,1,1,2,0,0,0,0,0,0,0,0,0,1,Jake Armstrong,17,1,3,JA764978,0.0,2.8134442288218313,2.8134442288218313,5.626888457643663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
18,0,0,2,0,0,0,0,0,0,0,0,2,0,1,Dave Attwood,10,1,4,DA784228,0.0,0.0,8.407379634890452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.407379634890452,0.0,0.0,0.0,0.0,0.0,4.0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jake Heenan,5,1,6,JH133700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
20,28,4,15,1,0,0,0,2,0,0,1,0,0,1,Harry Randall,17,1,15,HR101296,78.77643840701128,11.253776915287325,42.20166343232747,2.8134442288218313,0.0,0.0,0.0,5.626888457643663,0.0,0.0,2.8134442288218313,0.0,0.0,7.000000000000001,1.0,0.0,0.5,9.0
21,2,2,1,1,0,0,0,0,0,0,0,0,0,1,Sam Bedlow,12,1,9,SB430769,7.310307272517415,7.310307272517415,3.6551536362587074,3.6551536362587074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0
22,8,2,1,2,0,0,0,0,0,0,0,0,0,1,Jack Bates,21,1,11,JB641766,19.278104544186373,4.819526136046593,2.4097630680232967,4.819526136046593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,13.0
23,34,4,1,2,1,0,1,0,0,0,0,0,0,0,Elliot Obatoyinbo,80,0,15,EO460230,34.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.6666666666666666,0.0,0.0,15.0
24,18,2,1,4,3,0,2,3,0,0,1,0,0,0,Alex Lewington,80,0,14,AL809249,18.0,2.0,1.0,4.0,3.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,0.5714285714285714,0.0,1.5,14.0
25,0,2,0,7,1,1,0,0,0,0,0,0,0,0,Dominic Morris,75,0,13,DM369563,0.0,2.0751689951446295,0.0,7.263091483006203,1.0375844975723147,1.0375844975723147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.0,0.0,12.0
26,14,6,6,10,1,0,1,8,0,0,0,0,0,0,Nick Tompkins,80,0,12,NT897139,14.0,6.0,6.0,10.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.9090909090909091,0.0,1.3333333333333333,12.0
27,0,1,0,6,3,0,0,0,0,0,0,0,0,0,Rotimi Segun,75,0,11,RS863129,0.0,1.0375844975723147,0.0,6.225506985433889,3.1127534927169447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,11.0
