idPlayer,playguid,name,most_common_position_num,games_played,m_tries,s_tries,m_try_assist,s_try_assist,m_conversions,s_conversions,m_penalty_goals,s_penalty_goals,m_meters_made,s_meters_made,m_carries,s_carries,m_passes_made,s_passes_made,m_offloads,s_offloads,m_tackles_made,s_tackles_made,m_missed_tackles,s_missed_tackles,m_turnovers_won,s_turnovers_won,m_turnovers_conceded,s_turnovers_conceded,m_lineouts_won,s_lineouts_won,m_lineouts_stolen,s_lineouts_stolen,m_defenders_beaten,s_defenders_beaten,m_clean_breaks,s_clean_breaks,elo_score,defense_score,attack_score,open_score
1384,CB165930,"Charlesty Berguet",1,1,0.0000,NULL,0.0000,NULL,0.0000,NULL,0.0000,NULL,0.0000,NULL,3.0244,NULL,0.0000,NULL,0.0000,NULL,7.5611,NULL,3.0244,NULL,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,NULL,1208.0884,0.0168,0.3118,0.0854
1385,SL738840,"Seilala Lam",2,2,0.6820,0.9645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5023,10.6098,3.4722,2.8058,4.1543,3.7703,0.0000,0.0000,2.8523,0.1757,1.3641,1.9291,0.6820,0.9645,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1198.5267,0.0091,0.2833,0.0880
1386,AF443616,"Akato Fakatika",3,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1106,2.4649,0.0000,0.0000,0.0000,0.0000,4.9301,4.2728,1.1707,1.0428,0.8033,1.3913,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1203.3918,0.0184,0.2918,0.0845
1387,TL189834,"Tristan Labouteley",4,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5000,0.7071,4.5000,0.7071,5.0000,1.4142,0.5000,0.7071,10.0000,2.8284,2.0000,0.0000,0.5000,0.7071,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1200.0458,0.0172,0.5103,0.1571
1388,TC232967,"Tevita Cavubati",5,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1227,5.1851,10.2213,2.7948,3.4933,2.7731,0.8640,1.4965,10.3200,2.4954,1.1973,1.3072,0.8640,1.4965,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1175.2278,0.0542,0.4614,0.1114
1389,NM924806,"Nafitalai Maafu",6,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.5882,16.1387,7.0441,5.5945,2.5441,0.7695,0.5000,0.7071,8.0000,11.3137,0.5000,0.7071,0.5000,0.7071,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1212.6367,0.0166,0.3428,0.0972
1390,EB801749,"Ewan Bertheau",7,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.6400,5.1478,7.3300,3.7759,2.0000,2.8284,0.0000,0.0000,6.9950,0.0071,2.8300,2.5880,1.0000,1.4142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1210.5425,0.0166,0.3608,0.1036
1391,MU237028,"Matthieu Ugena",8,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8933,10.5650,5.2288,3.6558,2.1228,0.8729,0.0000,0.0000,11.3791,3.3456,2.5477,1.4771,0.4609,0.7983,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1185.1006,0.0395,0.3653,0.0909
1392,VM309364,"Victor Montgaillard",2,3,0.0000,0.0000,0.5961,1.0325,0.0000,0.0000,0.0000,0.0000,41.0453,22.0116,6.9661,2.2554,1.9248,0.4191,0.5961,1.0325,9.4924,3.5989,0.0000,0.0000,2.0559,1.0188,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5961,1.0325,1188.8958,0.0397,0.2930,0.0653
1393,SM732679,"Sami Mavinga",1,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8761,0.4422,0.0000,0.0000,0.0000,0.0000,3.7523,0.8844,0.7817,1.1055,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1202.5960,0.0289,0.2348,0.0524
1394,VJ764575,"Vakhtang Jincharadze",3,1,0.0000,NULL,0.0000,NULL,0.0000,NULL,0.0000,NULL,7.8172,NULL,7.8172,NULL,0.0000,NULL,0.0000,NULL,6.2538,NULL,0.0000,NULL,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,NULL,1207.5186,0.0160,0.2965,0.0813
1395,AM539978,"Andrei Mahu",5,2,0.9812,1.3876,0.0000,0.0000,0.9812,1.3876,0.9812,1.3876,9.8121,13.8764,5.0192,4.0028,2.0756,0.1601,0.0000,0.0000,5.3589,4.8033,1.0944,1.5477,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1199.9709,0.0267,0.1930,0.0409
1396,GM234527,"Guillem Montagne",8,1,0.0000,NULL,0.0000,NULL,0.0000,NULL,0.0000,NULL,8.7545,NULL,7.0036,NULL,1.7509,NULL,0.0000,NULL,10.5053,NULL,0.0000,NULL,1.7509,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,NULL,1206.4658,0.0135,0.2509,0.0688
1397,TE440019,"Tom Ecochard",9,1,1.7509,NULL,1.7509,NULL,0.0000,NULL,0.0000,NULL,24.5125,NULL,1.7509,NULL,52.5267,NULL,0.0000,NULL,1.7509,NULL,0.0000,NULL,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.7509,NULL,1206.7547,0.0135,0.2509,0.0688
1398,MR424904,"Matteo Rodor",10,3,0.0000,0.0000,0.0000,0.0000,1.0659,1.0065,0.0000,0.0000,19.0152,30.0031,2.9201,2.2294,22.4884,23.3606,0.3992,0.6914,3.7937,2.1130,0.6667,1.1547,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1179.9668,0.0392,0.3603,0.0907
1399,BP147201,"Baptiste Plana",14,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.3253,40.0580,3.9285,2.1478,0.0000,0.0000,0.0000,0.0000,6.6521,5.9995,0.5447,0.7703,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1208.8170,0.0325,0.3380,0.0822
1400,JH748475,"Jonah Holmes",14,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,31.0966,5.0000,3.0000,3.6667,3.7859,0.6667,0.5774,2.6667,2.0817,0.3333,0.5774,0.3333,0.5774,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3333,0.5774,1155.9050,0.0260,0.3965,0.1053
1401,RD475362,"Rio Dyer",11,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.3333,10.2144,6.0000,1.0000,2.0000,1.0000,0.0000,0.0000,2.6667,0.5774,1.3333,1.5275,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1155.5370,0.0258,0.3621,0.0938
1402,AW199299,"Adam Warren",13,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.3002,15.2506,9.4299,2.2009,5.5483,1.5023,1.0000,1.7321,6.6772,2.5313,0.3763,0.6518,0.7097,0.6180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1156.1714,0.0240,0.3764,0.1002
1403,AO367652,"Aneurin Owen",12,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.7981,20.6567,7.9830,4.1918,8.3073,4.8984,0.0000,0.0000,4.8055,1.6279,1.6964,1.5668,0.3333,0.5774,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1157.8178,0.0219,0.3195,0.0830
1404,JO728604,"Jordan Olowofela",11,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.4673,44.5015,3.0257,4.2790,1.2103,1.7116,1.2103,1.7116,0.6051,0.8558,0.0000,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1188.0519,0.0276,0.2673,0.0749
1405,SD611403,"Sam Davies",10,4,0.0000,0.0000,0.2500,0.5000,1.5000,1.2910,2.2500,1.5000,36.0000,41.4005,7.7500,4.9917,23.2500,8.4607,0.7500,0.9574,10.0000,3.5590,2.0000,0.0000,0.2500,0.5000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2500,0.5000,1138.8051,0.0273,0.3727,0.1015
1406,TK211349,"Tavis Knoyle",9,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.9239,27.1755,3.5053,3.1250,45.0310,39.3774,0.7097,0.6180,5.2579,4.6876,0.6667,1.1547,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7097,0.6180,1171.6233,0.0237,0.3420,0.0886
1407,AS875500,"Aki Seiuli",1,4,0.2933,0.5867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.4936,8.4780,8.8645,1.5581,2.4841,2.5298,0.0000,0.0000,9.5749,4.9918,0.6439,0.7493,0.3505,0.7011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6097,0.7050,1164.4531,0.0146,0.2196,0.0582
1408,ED407758,"Elliot Dee",2,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0129,12.0366,6.0717,3.6345,6.5377,3.1350,0.5401,0.7638,7.4873,3.1602,1.4156,0.4742,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1178.9904,0.0208,0.2434,0.0716
1409,MD294600,"Mesake Doge",3,2,0.7561,1.0693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1807,12.2246,4.9964,0.6502,0.7561,1.0693,0.0000,0.0000,2.2683,3.2079,0.7561,1.0693,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1183.7131,0.0133,0.2152,0.0526
1410,JD998344,"Joseph Davies",4,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7142,1.2370,1.7854,3.0924,2.4283,2.1989,0.3571,0.6185,7.4692,3.0775,0.4034,0.6988,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1160.0902,0.0226,0.3420,0.0898
1411,HK862583,"Harrison Keddie",6,4,0.2500,0.5000,0.2500,0.5000,0.0000,0.0000,0.0000,0.0000,20.1349,18.6496,9.6484,1.9188,1.7905,1.5464,0.2500,0.5000,10.8445,2.4511,0.7635,0.5096,0.2635,0.5270,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2500,0.5000,1142.3068,0.0270,0.3626,0.0991
1412,JB948039,"James Benjamin",2,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1482,5.8664,4.1759,0.0392,5.5587,1.9162,0.0000,0.0000,5.5309,7.8219,0.0000,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1189.2462,0.0104,0.1148,0.0290
1413,JR288049,"Josh Reynolds",1,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0338,1.4621,3.3637,1.0912,0.0000,0.0000,0.0000,0.0000,7.4991,6.9394,0.0000,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1191.3472,0.0070,0.1073,0.0263
1414,DB255613,"Dan Baker",8,1,0.0000,NULL,0.0000,NULL,0.0000,NULL,0.0000,NULL,15.6260,NULL,11.7195,NULL,3.9065,NULL,0.0000,NULL,7.8130,NULL,0.0000,NULL,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,NULL,1197.8447,0.0046,0.0442,0.0114
1415,DB237495,"Dan Babos",11,2,1.1650,1.6476,1.1650,1.6476,0.0000,0.0000,0.0000,0.0000,9.3200,13.1805,1.1650,1.6476,19.8050,28.0086,0.0000,0.0000,4.6600,6.5903,2.3300,3.2951,2.3300,3.2951,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1195.4680,0.0111,0.2758,0.0657
1416,JL700175,"Josh Lewis",15,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,91.4410,85.6433,10.0882,5.5321,14.6764,3.2860,0.5000,0.7071,1.0000,1.4142,0.0000,0.0000,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5000,0.7071,1181.8683,0.0096,0.2617,0.0621
1417,JR513677,"Jamie Roberts",12,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.6336,20.4130,6.4238,5.7944,2.0226,2.0004,0.6667,1.1547,3.3784,3.0708,0.6667,1.1547,0.0000,0.0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0000,0.0000,1177.8337,0.0142,0.1430,0.0408
