idPlayer,idMatch,position_num,mins_played,tries,try_assists,conversions,penalty_goals,meters_made,carries,passes_made,offloads,tackles_made,missed_tackles,turnovers_won,turnovers_conceded,lineouts_won,lineouts_stolen,defemders_beaten,clean_breaks,at_home,is_sub
90,269,14,80,0,0,0,0,36,11,3,1,2,2,2,0,0,0,3,0,0,0
72,269,13,80,0,0,0,0,38,11,9,1,3,0,0,4,0,0,2,0,0,0
1551,269,12,71,0,0,0,0,10,7,7,1,1,1,0,1,0,0,0,0,0,0
339,269,11,80,0,0,0,0,49,9,7,0,2,4,0,2,0,0,3,0,0,0
340,269,10,49,0,0,0,0,2,2,19,0,4,2,0,0,0,0,2,0,0,0
341,269,9,49,0,0,0,0,2,2,51,0,3,0,1,0,0,0,0,0,0,0
1552,269,1,55,0,0,0,0,16,6,3,0,3,0,0,1,0,0,0,0,0,0
726,269,2,55,1,0,0,0,18,12,1,0,3,1,0,0,0,0,1,0,0,0
932,269,3,55,0,0,0,0,6,4,0,0,1,1,0,0,1,0,0,0,0,0
1553,269,4,56,0,0,0,0,5,7,2,0,6,1,0,1,1,1,0,0,0,0
725,269,5,80,0,0,0,0,14,10,1,0,5,1,0,2,2,0,2,0,0,0
350,269,6,80,0,0,0,0,16,7,1,0,10,1,0,1,2,0,2,0,0,0
349,269,7,80,1,0,0,0,5,9,5,0,4,0,1,2,1,0,0,0,0,0
1554,269,8,61,0,0,0,0,28,16,3,0,7,1,0,0,1,0,0,0,0,0
346,269,2,25,0,0,0,0,20,3,0,0,1,0,0,0,0,0,0,0,0,1
613,269,1,25,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1
348,269,3,25,0,0,0,0,2,3,0,0,4,0,0,0,0,0,1,0,0,1
1555,269,4,24,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1
889,269,8,19,0,0,0,0,0,2,3,0,1,0,1,1,2,0,0,0,0,1
1556,269,9,31,1,0,0,0,35,2,39,0,2,0,0,1,1,0,3,2,0,1
352,269,10,31,0,0,0,0,8,4,12,1,3,0,0,0,0,0,2,0,0,1
353,269,12,9,0,0,0,0,2,3,0,0,1,0,0,0,1,0,0,0,0,1
192,270,15,80,1,1,0,0,141,8,10,2,4,1,3,3,0,0,6,2,1,0
582,270,14,80,0,0,0,0,31,7,3,2,2,2,2,1,0,0,3,0,1,0
583,270,13,80,0,0,0,0,52,8,5,2,8,0,1,0,0,0,2,0,1,0
599,270,12,63,0,0,0,0,17,5,7,1,5,2,0,1,0,0,1,1,1,0
811,270,11,80,0,1,0,0,39,6,4,2,0,4,0,0,0,0,1,1,1,0
598,270,10,80,1,0,0,2,10,2,15,1,4,1,0,1,0,0,1,0,1,0
585,270,9,60,0,2,0,0,10,4,47,2,6,0,0,0,0,0,1,0,1,0
586,270,1,45,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,1,0
592,270,2,54,0,0,0,0,2,4,2,1,4,0,0,1,0,0,1,0,1,0
588,270,3,45,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,1,0
589,270,4,60,0,0,0,0,17,6,2,0,3,1,0,3,5,1,1,0,1,0
1557,270,5,45,0,0,0,0,9,2,1,0,4,1,0,0,0,0,0,0,1,0
591,270,6,80,1,0,0,0,28,8,6,0,6,0,1,1,5,0,0,1,1,0
81,270,7,80,0,0,0,0,14,8,3,0,6,1,1,0,2,0,1,0,1,0
814,270,8,49,0,0,0,0,17,7,4,0,6,0,3,0,0,0,1,0,1,0
587,270,2,26,0,0,0,0,0,5,2,1,4,0,0,1,0,0,0,0,1,1
1558,270,1,35,1,0,0,0,10,4,0,0,4,0,0,0,0,0,0,1,1,1
1518,270,3,35,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,1
590,270,5,35,0,0,0,0,18,6,0,0,3,0,0,0,0,0,2,0,1,1
596,270,8,31,0,0,0,0,29,4,1,0,5,0,1,0,0,0,4,1,1,1
1559,270,9,20,0,0,0,0,0,1,27,0,0,0,0,0,0,0,1,0,1,1
580,270,12,17,0,0,0,0,0,2,3,1,1,2,0,0,0,0,0,0,1,1
595,270,4,20,0,0,0,0,2,3,2,1,3,0,0,0,2,1,0,0,1,1
1045,270,15,60,0,0,0,0,57,4,3,1,1,0,0,2,0,0,1,2,0,0
1257,270,14,80,1,0,0,0,105,11,3,0,2,0,0,2,0,0,5,0,0,0
1065,270,13,60,0,0,0,0,12,3,0,0,1,1,0,0,0,0,1,0,0,0
1048,270,12,80,0,0,0,0,31,8,12,2,9,1,0,0,0,0,2,0,0,0
1406,270,11,80,1,0,0,0,122,8,4,3,6,1,0,2,0,0,4,2,0,0
1560,270,10,80,0,1,0,1,6,2,17,0,3,4,0,1,0,0,0,0,0,0
1258,270,9,49,0,0,0,0,0,1,31,0,2,2,0,0,0,0,0,0,0,0
1408,270,1,49,0,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,0,0
1260,270,2,49,0,0,0,0,2,2,0,0,2,1,0,2,0,0,0,0,0,0
1053,270,3,49,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0
1485,270,4,59,0,0,0,0,3,3,1,0,4,1,1,0,1,0,0,0,0,0
1054,270,5,49,0,0,0,0,0,2,2,0,4,1,0,0,2,0,0,0,0,0
1561,270,6,80,1,0,0,0,12,4,7,1,10,4,2,1,0,0,0,0,0,0
1265,270,7,80,0,0,0,0,7,4,5,1,10,1,3,3,6,0,0,0,0,0
1562,270,8,29,1,0,0,0,88,8,0,0,8,4,2,1,1,0,2,1,0,0
1059,270,2,31,0,0,0,0,0,2,0,0,7,1,0,1,0,0,0,0,0,1
1051,270,1,31,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,1
1261,270,3,31,0,0,0,0,2,4,1,0,4,1,0,0,0,0,0,0,0,1
1262,270,9,31,0,0,0,0,17,4,2,0,7,0,0,1,1,0,1,1,0,1
1266,270,4,21,0,0,0,0,2,3,0,0,6,0,0,0,2,0,0,0,0,1
183,270,15,20,0,0,0,0,31,4,3,0,1,1,0,1,0,0,2,0,0,1
1047,270,13,20,0,0,0,0,6,2,0,0,2,1,0,1,0,0,0,0,0,1
1589,271,15,46,1,0,0,0,57,5,7,3,3,1,2,0,0,0,2,0,1,0
1564,271,14,80,0,0,0,0,32,4,0,0,3,4,0,0,1,0,0,0,1,0
1565,271,13,80,0,0,0,0,52,5,5,1,4,5,0,3,0,0,2,0,1,0
1005,271,12,80,0,1,0,0,9,2,5,0,11,2,0,1,0,0,0,0,1,0
1566,271,11,80,1,0,0,0,100,4,3,0,5,1,0,2,0,0,3,1,1,0
1567,271,10,74,0,0,0,1,20,3,10,0,6,5,0,2,0,0,0,0,1,0
1568,271,9,53,1,0,0,0,79,3,24,0,6,0,0,0,0,0,2,2,1,0
1008,271,1,44,0,0,0,0,5,3,2,0,5,0,0,0,0,0,0,0,1,0
1016,271,2,66,0,0,0,0,0,1,2,0,8,2,1,0,0,0,0,0,1,0
1018,271,3,74,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,1,0
1569,271,4,42,0,0,0,0,7,4,2,0,6,2,2,0,2,0,0,0,1,0
1367,271,5,57,0,0,0,0,0,1,0,0,7,1,0,0,1,0,0,0,1,0
1014,271,6,80,0,1,0,0,21,7,3,0,7,1,0,0,1,0,1,0,1,0
1020,271,7,80,1,0,0,0,21,6,4,1,19,2,1,0,0,0,0,0,1,0
1019,271,8,80,1,0,0,0,28,11,2,1,13,1,1,4,2,0,1,0,1,0
1009,271,2,14,0,0,0,0,8,2,1,1,1,0,0,0,0,0,0,0,1,1
1364,271,1,36,0,0,0,0,2,1,1,0,5,0,0,1,0,0,0,0,1,1
1570,271,3,6,0,0,0,0,1,3,1,0,2,0,1,0,0,0,0,0,1,1
1365,271,4,38,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,1,1
1508,271,5,23,0,0,0,0,0,0,2,0,4,1,0,0,2,0,0,0,1,1
1007,271,9,27,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,1,1
1002,271,15,34,0,0,0,0,19,3,3,0,0,1,0,0,0,0,1,0,1,1
1004,271,10,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1
1206,271,15,74,0,0,0,0,81,11,3,1,0,0,0,2,0,0,2,1,0,0
1348,271,14,80,0,0,0,0,37,4,6,1,6,1,0,0,0,0,5,1,0,0
1349,271,13,74,0,0,0,0,25,7,3,1,5,0,1,0,0,0,5,0,0,0
