idMatch,idComp,date,home,away,FT_Score,HT_Score
350,4,05/02/2022,Bristol Bears,Newcastle Falcons,37 - 21,28 - 14
351,4,05/02/2022,Exeter Chiefs,Wasps,26 - 27,21-Aug
352,4,05/02/2022,Leicester Tigers,Worcester Warriors,36 - 16,22-Jun
353,4,05/02/2022,Saracens,Bath Rugby,40 - 3,18-Mar
354,4,06/02/2022,Harlequins,Sale Sharks,14 - 36,Jul-22
355,4,11/02/2022,Bristol Bears,London Irish,32 - 49,15-Oct
356,4,11/02/2022,Leicester Tigers,Northampton Saints,35 - 20,22-Oct
357,4,12/02/2022,Exeter Chiefs,Gloucester Rugby,24 - 15,05-May
358,4,12/02/2022,Sale Sharks,Worcester Warriors,36 - 12,10-Dec
359,4,12/02/2022,Wasps,Bath Rugby,41 - 24,17 - 14
360,4,13/02/2022,Saracens,Harlequins,19-Oct,10-Oct
361,4,18/02/2022,Worcester Warriors,Bristol Bears,19 - 14,14 - 14
362,4,19/02/2022,Bath Rugby,Leicester Tigers,20 - 24,20 - 14
363,4,19/02/2022,Harlequins,Wasps,29 - 24,12-Mar
364,4,19/02/2022,London Irish,Saracens,32 - 30,12-Oct
365,4,19/02/2022,Northampton Saints,Sale Sharks,21 - 22,14 - 15
366,4,20/02/2022,Newcastle Falcons,Exeter Chiefs,14 - 15,07-Jul
367,4,25/02/2022,Bristol Bears,Wasps,31 - 19,21-Jul
368,4,25/02/2022,Sale Sharks,London Irish,27 - 27,08-Jul
369,4,25/02/2022,Worcester Warriors,Harlequins,21 - 29,14 - 14
370,4,26/02/2022,Leicester Tigers,Gloucester Rugby,35 - 23,14 - 16
371,4,26/02/2022,Newcastle Falcons,Bath Rugby,25 - 30,18-Nov
372,4,27/02/2022,Northampton Saints,Exeter Chiefs,31 - 34,13 - 17
373,4,04/03/2022,Harlequins,Newcastle Falcons,24-Oct,19-Oct
374,4,05/03/2022,Bath Rugby,Bristol Bears,29 - 27,May-24
375,4,05/03/2022,Gloucester Rugby,Northampton Saints,35 - 30,14 - 20
376,4,05/03/2022,London Irish,Worcester Warriors,43 - 12,17-May
377,4,05/03/2022,Saracens,Leicester Tigers,34 - 27,22 - 13
378,4,06/03/2022,Exeter Chiefs,Sale Sharks,19-Dec,19 - 0
379,4,12/03/2022,Worcester Warriors,Exeter Chiefs,35 - 31,14 - 14
380,4,12/03/2022,Leicester Tigers,London Irish,47 - 28,26 - 16
381,4,12/03/2022,Newcastle Falcons,Saracens,21 - 36,16 - 17
382,4,12/03/2022,Sale Sharks,Gloucester Rugby,26 - 24,19-Dec
383,4,13/03/2022,Bristol Bears,Harlequins,29 - 38,19 - 26
384,4,13/03/2022,Northampton Saints,Wasps,27 - 22,12-Oct
385,4,26/03/2022,Saracens,Bristol Bears,27 - 23,20 - 20
386,4,26/03/2022,Wasps,Newcastle Falcons,27 - 24,14 - 17
387,4,27/03/2022,Exeter Chiefs,Leicester Tigers,17 - 22,0 - 12
388,4,01/04/2022,Sale Sharks,Saracens,Dec-18,06-May
389,4,02/04/2022,Exeter Chiefs,Bath Rugby,42 - 22,21 - 22
390,4,02/04/2022,Gloucester Rugby,Wasps,21 - 27,6 - 0
391,4,02/04/2022,Northampton Saints,Bristol Bears,39 - 22,24 - 17
392,4,02/04/2022,Worcester Warriors,Newcastle Falcons,Oct-45,May-21
393,4,03/04/2022,London Irish,Harlequins,14 - 41,Jul-22
394,4,22/04/2022,Bristol Bears,Gloucester Rugby,29 - 28,17 - 21
395,4,22/04/2022,Newcastle Falcons,London Irish,14 - 42,14 - 28
396,4,23/04/2022,Bath Rugby,Northampton Saints,31 - 36,17-Jul
397,4,23/04/2022,Harlequins,Leicester Tigers,26 - 20,15-Dec
398,4,23/04/2022,Wasps,Worcester Warriors,41 - 12,15 - 0
399,4,24/04/2022,Saracens,Exeter Chiefs,38 - 22,Oct-15
400,4,29/04/2022,Northampton Saints,Harlequins,32 - 31,26 - 17
401,4,29/04/2022,Sale Sharks,Newcastle Falcons,35 - 27,14 - 15
402,4,30/04/2022,Gloucester Rugby,Bath Rugby,64 - 0,24 - 0
403,4,30/04/2022,Leicester Tigers,Bristol Bears,56 - 26,27-Dec
404,4,30/04/2022,Worcester Warriors,Saracens,16 - 38,Sep-17
405,4,01/05/2022,London Irish,Wasps,42 - 42,14 - 24
406,4,20/05/2022,Bristol Bears,Exeter Chiefs,40 - 33,14 - 14
407,4,20/05/2022,Wasps,Sale Sharks,Jul-16,07-Jun
408,4,21/05/2022,Bath Rugby,London Irish,27 - 24,14 - 17
409,4,21/05/2022,Harlequins,Gloucester Rugby,28 - 24,Jul-24
410,4,21/05/2022,Newcastle Falcons,Leicester Tigers,May-27,0 - 10
411,4,21/05/2022,Saracens,Northampton Saints,42 - 38,09-Oct
412,4,04/06/2022,Exeter Chiefs,Harlequins,47 - 38,19 - 19
413,4,04/06/2022,Gloucester Rugby,Saracens,54 - 7,21 - 0
414,4,04/06/2022,Leicester Tigers,Wasps,20-Oct,7 - 0
415,4,04/06/2022,Northampton Saints,Newcastle Falcons,65 - 26,36 - 7
416,4,04/06/2022,Sale Sharks,Bristol Bears,42 - 19,28 - 0
417,4,04/06/2022,Worcester Warriors,Bath Rugby,43 - 27,Oct-19
